,prob_s,comp_factor,Intervention strategy,name,q_y,q_a,q_o,q_ya,q_ao,q_yo,color,R0,si_eff
51,1,0.08,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.4596552436557597,0.07999999999999996
52,1,0.08,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0746107475424596,0.07999999999999996
53,1,0.08,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.029662065467064,0.07999999999999996
54,1,0.09,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.0930000000000035,0.08999999999999997
55,1,0.09,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,2.011542814636883,0.08999999999999997
56,1,0.09,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.8561205654645652,0.08999999999999997
57,1,0.09,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.4437894257899373,0.08999999999999997
58,1,0.09,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0629301959387374,0.08999999999999997
59,1,0.09,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,2.0076005212772063,0.08999999999999997
60,1,0.1,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.070000000000002,0.09999999999999998
61,1,0.1,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.9894379485419749,0.09999999999999998
62,1,0.1,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.835723636173745,0.09999999999999998
63,1,0.1,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.4279236079241135,0.09999999999999998
64,1,0.1,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0512496443350154,0.09999999999999998
65,1,0.1,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.9855389770873482,0.09999999999999998
66,1,0.11,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.0470000000000037,0.10999999999999999
67,1,0.11,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.9673330824470623,0.10999999999999999
68,1,0.11,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.8153267068829295,0.10999999999999999
69,1,0.11,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.4120577900582905,0.10999999999999999
70,1,0.11,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.039569092731293,0.10999999999999999
71,1,0.11,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.9634774328974882,0.10999999999999999
72,1,0.12,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.0240000000000027,0.12
73,1,0.12,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.9452282163521533,0.12
74,1,0.12,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.794929777592111,0.12
75,1,0.12,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3961919721924676,0.12
76,1,0.12,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0278885411275709,0.12
77,1,0.12,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.9414158887076274,0.12
78,1,0.13,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,2.0010000000000026,0.13
79,1,0.13,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.9231233502572425,0.13
80,1,0.13,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.7745328483012879,0.13
81,1,0.13,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3803261543266425,0.13
82,1,0.13,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0162079895238485,0.13
83,1,0.13,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.9193543445177688,0.13
84,1,0.14,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.9780000000000015,0.14
85,1,0.14,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.9010184841623319,0.14
86,1,0.14,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.754135919010468,0.14
87,1,0.14,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3644603364608199,0.14
88,1,0.14,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,1.0045274379201257,0.14
89,1,0.14,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.8972928003279108,0.14
90,1,0.15,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.9550000000000018,0.15000000000000002
91,1,0.15,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.8789136180674222,0.15000000000000002
92,1,0.15,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.73373898971965,0.15000000000000002
93,1,0.15,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3485945185949948,0.15000000000000002
94,1,0.15,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9928468863164024,0.15000000000000002
95,1,0.15,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.8752312561380493,0.15000000000000002
96,1,0.16,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.9320000000000028,0.16000000000000003
97,1,0.16,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.8568087519725118,0.16000000000000003
98,1,0.16,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.7133420604288285,0.16000000000000003
99,1,0.16,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3327287007291728,0.16000000000000003
100,1,0.16,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9811663347126808,0.16000000000000003
101,1,0.16,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.853169711948191,0.16000000000000003
102,1,0.17,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.9090000000000025,0.17000000000000004
103,1,0.17,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.834703885877598,0.17000000000000004
104,1,0.17,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.6929451311380106,0.17000000000000004
105,1,0.17,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3168628828633482,0.17000000000000004
106,1,0.17,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9694857831089589,0.17000000000000004
107,1,0.17,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.8311081677583303,0.17000000000000004
108,1,0.18,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.8860000000000046,0.17999999999999994
109,1,0.18,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.8125990197826862,0.17999999999999994
110,1,0.18,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.67254820184719,0.17999999999999994
111,1,0.18,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.3009970649975262,0.17999999999999994
112,1,0.18,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9578052315052363,0.17999999999999994
113,1,0.18,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.8090466235684728,0.17999999999999994
114,1,0.19,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.8630000000000027,0.18999999999999995
115,1,0.19,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.790494153687774,0.18999999999999995
116,1,0.19,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.6521512725563703,0.18999999999999995
117,1,0.19,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.285131247131703,0.18999999999999995
118,1,0.19,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9461246799015135,0.18999999999999995
119,1,0.19,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.7869850793786144,0.18999999999999995
